"city","city_ascii","state_id","state_name","county_name"
"Ligonier","Ligonier","IN","Indiana","Noble"
"Clearlake Riviera","Clearlake Riviera","CA","California","Lake"
"Newport","Newport","NC","North Carolina","Carteret"
"Castle Pines Village","Castle Pines Village","CO","Colorado","Douglas"
"National Harbor","National Harbor","MD","Maryland","Prince George's"
"Mystic","Mystic","CT","Connecticut","New London"
"Estacada","Estacada","OR","Oregon","Clackamas"
"Lenwood","Lenwood","CA","California","San Bernardino"
"Pittsburg","Pittsburg","TX","Texas","Camp"
"Maytown","Maytown","PA","Pennsylvania","Lancaster"
"Comerío","Comerio","PR","Puerto Rico","Comerío"
"Folkston","Folkston","GA","Georgia","Charlton"
"Devine","Devine","TX","Texas","Medina"
"Hayfield","Hayfield","VA","Virginia","Fairfax"
"Prescott","Prescott","WI","Wisconsin","Pierce"
"Lexington","Lexington","WA","Washington","Cowlitz"
"Ivanhoe","Ivanhoe","CA","California","Tulare"
"Centreville","Centreville","IL","Illinois","St. Clair"
"Samoset","Samoset","FL","Florida","Manatee"
"Haleyville","Haleyville","AL","Alabama","Winston"
"Wamego","Wamego","KS","Kansas","Pottawatomie"
"Galeville","Galeville","NY","New York","Onondaga"
"Unalaska","Unalaska","AK","Alaska","Aleutians West"
"Lolo","Lolo","MT","Montana","Missoula"
"Louisville","Louisville","TN","Tennessee","Blount"
"Argyle","Argyle","TX","Texas","Denton"
"New Lexington","New Lexington","OH","Ohio","Perry"
"Shenandoah","Shenandoah","PA","Pennsylvania","Schuylkill"
"Farrell","Farrell","PA","Pennsylvania","Mercer"
"Magnolia","Magnolia","NJ","New Jersey","Camden"
"Waverly","Waverly","NY","New York","Tioga"
"Normandy","Normandy","MO","Missouri","St. Louis"
"Hampton","Hampton","IA","Iowa","Franklin"
"Ford City","Ford City","CA","California","Kern"
"Hometown","Hometown","IL","Illinois","Cook"
"Oak Valley","Oak Valley","NJ","New Jersey","Gloucester"
"Fox Farm-College","Fox Farm-College","WY","Wyoming","Laramie"
"Belton","Belton","SC","South Carolina","Anderson"
"Nelsonville","Nelsonville","OH","Ohio","Athens"
"Caro","Caro","MI","Michigan","Tuscola"
"Medford","Medford","WI","Wisconsin","Taylor"
"Vilonia","Vilonia","AR","Arkansas","Faulkner"
"Isle of Palms","Isle of Palms","SC","South Carolina","Charleston"
"Hamburg","Hamburg","PA","Pennsylvania","Berks"
"Lamar","Lamar","MO","Missouri","Barton"
"Mauston","Mauston","WI","Wisconsin","Juneau"
"Whitfield","Whitfield","FL","Florida","Manatee"
"Butler","Butler","MO","Missouri","Bates"
"Suncoast Estates","Suncoast Estates","FL","Florida","Lee"
"Lawrenceville","Lawrenceville","IL","Illinois","Lawrence"
"Dewey-Humboldt","Dewey-Humboldt","AZ","Arizona","Yavapai"
"Hallsville","Hallsville","TX","Texas","Harrison"
"Westville","Westville","NJ","New Jersey","Gloucester"
"Moxee","Moxee","WA","Washington","Yakima"
"North Terre Haute","North Terre Haute","IN","Indiana","Vigo"
"Scottsville","Scottsville","KY","Kentucky","Allen"
"West Peoria","West Peoria","IL","Illinois","Peoria"
"Breese","Breese","IL","Illinois","Clinton"
"Rockwell","Rockwell","AR","Arkansas","Garland"
"Harrogate","Harrogate","TN","Tennessee","Claiborne"
"Saukville","Saukville","WI","Wisconsin","Ozaukee"
"Kewaskum","Kewaskum","WI","Wisconsin","Washington"
"Huxley","Huxley","IA","Iowa","Story"
"Jonesboro","Jonesboro","LA","Louisiana","Jackson"
"Edinburgh","Edinburgh","IN","Indiana","Johnson"
"Reedsport","Reedsport","OR","Oregon","Douglas"
"Pantops","Pantops","VA","Virginia","Albemarle"
"Cedar Knolls","Cedar Knolls","NJ","New Jersey","Morris"
"Buchanan","Buchanan","MI","Michigan","Berrien"
"La Verkin","La Verkin","UT","Utah","Washington"
"Bradley Beach","Bradley Beach","NJ","New Jersey","Monmouth"
"Forest City","Forest City","IA","Iowa","Winnebago"
"Wadena","Wadena","MN","Minnesota","Wadena"
"Hebbronville","Hebbronville","TX","Texas","Jim Hogg"
"Fayetteville","Fayetteville","NY","New York","Onondaga"
"Danville","Danville","PA","Pennsylvania","Montour"
"Metzger","Metzger","OR","Oregon","Washington"
"Wiggins","Wiggins","MS","Mississippi","Stone"
"French Island","French Island","WI","Wisconsin","La Crosse"
"Barboursville","Barboursville","WV","West Virginia","Cabell"
"Trenton","Trenton","TN","Tennessee","Gibson"
"Crescent Springs","Crescent Springs","KY","Kentucky","Kenton"
"Dyersville","Dyersville","IA","Iowa","Dubuque"
"Pocomoke City","Pocomoke City","MD","Maryland","Worcester"
"Slatington","Slatington","PA","Pennsylvania","Lehigh"
"Osawatomie","Osawatomie","KS","Kansas","Miami"
"Locust","Locust","NC","North Carolina","Stanly"
"Mulberry","Mulberry","OH","Ohio","Clermont"
"Fredericktown","Fredericktown","MO","Missouri","Madison"
"Parker","Parker","FL","Florida","Bay"
"Montauk","Montauk","NY","New York","Suffolk"
"Brownsville","Brownsville","LA","Louisiana","Ouachita"
"The College of New Jersey","The College of New Jersey","NJ","New Jersey","Mercer"
"Fayette","Fayette","AL","Alabama","Fayette"
"Sharpsville","Sharpsville","PA","Pennsylvania","Mercer"
"Paxton","Paxton","IL","Illinois","Ford"
"Scott City","Scott City","KS","Kansas","Scott"
"Belleair","Belleair","FL","Florida","Pinellas"
"Camuy","Camuy","PR","Puerto Rico","Camuy"
"Forest Oaks","Forest Oaks","NC","North Carolina","Guilford"
"Elmira Heights","Elmira Heights","NY","New York","Chemung"
"Pocola","Pocola","OK","Oklahoma","Le Flore"
"Southern Shops","Southern Shops","SC","South Carolina","Spartanburg"
"Anna","Anna","IL","Illinois","Union"
"Gardnertown","Gardnertown","NY","New York","Orange"
"Mount Pleasant","Mount Pleasant","PA","Pennsylvania","Westmoreland"
"Bristow","Bristow","OK","Oklahoma","Creek"
"Sykesville","Sykesville","MD","Maryland","Carroll"
"Colorado City","Colorado City","TX","Texas","Mitchell"
"Kutztown","Kutztown","PA","Pennsylvania","Berks"
"Bonsall","Bonsall","CA","California","San Diego"
"Sinking Spring","Sinking Spring","PA","Pennsylvania","Berks"
"Northwest Harwich","Northwest Harwich","MA","Massachusetts","Barnstable"
"Longbranch","Longbranch","WA","Washington","Pierce"
"Sparta","Sparta","MI","Michigan","Kent"
"Church Point","Church Point","LA","Louisiana","Acadia"
"Euharlee","Euharlee","GA","Georgia","Bartow"
"Park Layne","Park Layne","OH","Ohio","Clark"
"Country Lake Estates","Country Lake Estates","NJ","New Jersey","Burlington"
"Suquamish","Suquamish","WA","Washington","Kitsap"
"Westport","Westport","NC","North Carolina","Lincoln"
"Pecan Acres","Pecan Acres","TX","Texas","Tarrant"
"East Village","East Village","CT","Connecticut","Fairfield"
"Ho-Ho-Kus","Ho-Ho-Kus","NJ","New Jersey","Bergen"
"Meadow Lake","Meadow Lake","NM","New Mexico","Valencia"
"North Wilkesboro","North Wilkesboro","NC","North Carolina","Wilkes"
"North Plymouth","North Plymouth","MA","Massachusetts","Plymouth"
"Chalfont","Chalfont","PA","Pennsylvania","Bucks"
"Highland Beach","Highland Beach","FL","Florida","Palm Beach"
"Boyertown","Boyertown","PA","Pennsylvania","Berks"
"Ashdown","Ashdown","AR","Arkansas","Little River"
"Mount Hermon","Mount Hermon","VA","Virginia","Pittsylvania"
"Larksville","Larksville","PA","Pennsylvania","Luzerne"
"Genesee","Genesee","CO","Colorado","Jefferson"
"Medford Lakes","Medford Lakes","NJ","New Jersey","Burlington"
"Lyons","Lyons","GA","Georgia","Toombs"
"Sullivan","Sullivan","IN","Indiana","Sullivan"
"Chelan","Chelan","WA","Washington","Chelan"
"Barrington Hills","Barrington Hills","IL","Illinois","Cook"
"Waverly","Waverly","TN","Tennessee","Humphreys"
"Heritage Village","Heritage Village","CT","Connecticut","New Haven"
"Nikiski","Nikiski","AK","Alaska","Kenai Peninsula"
"Sagamore","Sagamore","MA","Massachusetts","Barnstable"
"Monte Vista","Monte Vista","CO","Colorado","Rio Grande"
"Sebring","Sebring","OH","Ohio","Mahoning"
"West Jefferson","West Jefferson","OH","Ohio","Madison"
"Whiteman AFB","Whiteman AFB","MO","Missouri","Johnson"
"Laureldale","Laureldale","PA","Pennsylvania","Berks"
"Southside","Southside","AR","Arkansas","Independence"
"McLoud","McLoud","OK","Oklahoma","Pottawatomie"
"Maeser","Maeser","UT","Utah","Uintah"
"Brookdale","Brookdale","SC","South Carolina","Orangeburg"
"Scott AFB","Scott AFB","IL","Illinois","St. Clair"
"Springville","Springville","NY","New York","Erie"
"Indian River Shores","Indian River Shores","FL","Florida","Indian River"
"Niwot","Niwot","CO","Colorado","Boulder"
"Farmers Loop","Farmers Loop","AK","Alaska","Fairbanks North Star"
"Red Oaks Mill","Red Oaks Mill","NY","New York","Dutchess"
"Charleroi","Charleroi","PA","Pennsylvania","Washington"
"Burnt Mills","Burnt Mills","MD","Maryland","Montgomery"
"Slaughterville","Slaughterville","OK","Oklahoma","Cleveland"
"Aldan","Aldan","PA","Pennsylvania","Delaware"
"Baldwin","Baldwin","WI","Wisconsin","St. Croix"
"Hawaiian Beaches","Hawaiian Beaches","HI","Hawaii","Hawaii"
"Wellington","Wellington","OH","Ohio","Lorain"
"Lisbon Falls","Lisbon Falls","ME","Maine","Androscoggin"
"Forty Fort","Forty Fort","PA","Pennsylvania","Luzerne"
"Ellenville","Ellenville","NY","New York","Ulster"
"Geneva","Geneva","AL","Alabama","Geneva"
"Waverly","Waverly","NE","Nebraska","Lancaster"
"Broken Bow","Broken Bow","OK","Oklahoma","McCurtain"
"Gaylord","Gaylord","MI","Michigan","Otsego"
"Spring Valley Village","Spring Valley Village","TX","Texas","Harris"
"High Ridge","High Ridge","MO","Missouri","Jefferson"
"Mount Orab","Mount Orab","OH","Ohio","Brown"
"Buckingham","Buckingham","FL","Florida","Lee"
"Greencastle","Greencastle","PA","Pennsylvania","Franklin"
"Cannon Falls","Cannon Falls","MN","Minnesota","Goodhue"
